,District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N),2018-19 District Enrollment,Campuses would Qualify as Rural for Teacher Incentive Allotment Purposes Based on TEA Definition (Yes/No),"Campuses would Qualify as Rural for Teacher Incentive Allotment Purposes Based on NCES Definition and Enrollment <5,000 (Yes/No)"
856,POST ISD,85902,H,Rural,32.0,Town-Distant,N,846,Yes,No
857,POTEET ISD,7906,G,Non-metropolitan Stable,32.0,Town-Distant,N,1703,No,No
858,POTH ISD,247904,H,Rural,42.0,Rural-Distant,N,841,Yes,Yes
859,POTTSBORO ISD,91913,D,Other Central City Suburban,23.0,Suburb-Small,N,1424,No,No
860,PRAIRIE LEA ISD,28906,H,Rural,42.0,Rural-Distant,N,216,Yes,Yes
861,PRAIRIE VALLEY ISD,169909,H,Rural,42.0,Rural-Distant,N,167,Yes,Yes
862,PRAIRILAND ISD,139912,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1146,No,Yes
863,PREMIER HIGH SCHOOLS,72801,I,Charter School Districts,21.0,Suburb-Large,Y,5523,No,No
864,PREMONT ISD,125905,H,Rural,33.0,Town-Remote,N,617,Yes,No
865,PRESIDIO ISD,189902,G,Non-metropolitan Stable,33.0,Town-Remote,N,1188,No,No
866,PRIDDY ISD,167904,H,Rural,43.0,Rural-Remote,N,101,Yes,Yes
867,PRINCETON ISD,43911,F,Non-metropolitan Fast Growing,22.0,Suburb-Midsize,N,4887,No,No
868,PRINGLE-MORSE CISD,98903,H,Rural,43.0,Rural-Remote,N,121,Yes,Yes
869,PRIORITY CHARTER SCHOOLS,14803,I,Charter School Districts,21.0,Suburb-Large,Y,789,No,No
870,PROGRESO ISD,108910,G,Non-metropolitan Stable,21.0,Suburb-Large,N,1756,No,No
871,PROMESA PUBLIC SCHOOLS,227824,I,Charter School Districts,11.0,City-Large,Y,1037,No,No
872,PROMISE COMMUNITY SCHOOL,101853,I,Charter School Districts,11.0,City-Large,Y,1957,No,No
873,PROSPER ISD,43912,D,Other Central City Suburban,41.0,Rural-Fringe,N,14348,No,No
874,QUANAH ISD,99903,H,Rural,43.0,Rural-Remote,N,500,Yes,Yes
875,QUEEN CITY ISD,34907,G,Non-metropolitan Stable,32.0,Town-Distant,N,1074,No,No
876,QUINLAN ISD,116908,D,Other Central City Suburban,41.0,Rural-Fringe,N,2694,No,Yes
877,QUITMAN ISD,250904,G,Non-metropolitan Stable,32.0,Town-Distant,N,1130,No,No
878,RAINS ISD,190903,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1722,No,Yes
879,RALLS ISD,54903,H,Rural,42.0,Rural-Distant,N,519,Yes,Yes
880,RAMIREZ CSD,66005,H,Rural,43.0,Rural-Remote,N,27,Yes,Yes
881,RANCH ACADEMY,234801,I,Charter School Districts,42.0,Rural-Distant,Y,79,No,Yes
882,RANDOLPH FIELD ISD,15906,F,Non-metropolitan Fast Growing,41.0,Rural-Fringe,N,1468,No,Yes
883,RANGER ISD,67907,H,Rural,43.0,Rural-Remote,N,364,Yes,Yes
884,RANKIN ISD,231902,H,Rural,43.0,Rural-Remote,N,300,Yes,Yes
885,RAPOPORT ACADEMY PUBLIC SCHOOL,161802,I,Charter School Districts,12.0,City-Midsize,Y,819,No,No
886,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,101806,I,Charter School Districts,11.0,City-Large,Y,1331,No,No
887,RAVEN SCHOOL,236801,I,Charter School Districts,42.0,Rural-Distant,Y,103,No,Yes
888,RAYMONDVILLE ISD,245903,D,Other Central City Suburban,32.0,Town-Distant,N,2054,No,No
889,REAGAN COUNTY ISD,192901,H,Rural,33.0,Town-Remote,N,875,Yes,No
890,RED LICK ISD,19911,H,Rural,23.0,Suburb-Small,N,501,Yes,No
891,RED OAK ISD,70911,D,Other Central City Suburban,21.0,Suburb-Large,N,5891,No,No
892,REDWATER ISD,19906,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1130,No,Yes
893,REFUGIO ISD,196903,H,Rural,32.0,Town-Distant,N,689,Yes,No
894,RICARDO ISD,137902,H,Rural,42.0,Rural-Distant,N,689,Yes,Yes
895,RICE CISD,45903,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1392,No,Yes
896,RICE ISD,175911,E,Independent Town,42.0,Rural-Distant,N,910,No,Yes
897,RICHARD MILBURN ALTER HIGH SCHOOL,14801,I,Charter School Districts,12.0,City-Midsize,Y,1952,No,No
898,RICHARDS ISD,93905,H,Rural,42.0,Rural-Distant,N,179,Yes,Yes
899,RICHARDSON ISD,57916,B,Major Suburban,11.0,City-Large,N,39108,No,No
900,RICHLAND COLLEGIATE HIGH SCHOOL,57840,I,Charter School Districts,11.0,City-Large,Y,592,No,No
901,RICHLAND SPRINGS ISD,206902,H,Rural,43.0,Rural-Remote,N,123,Yes,Yes
902,RIESEL ISD,161912,H,Rural,42.0,Rural-Distant,N,681,Yes,Yes
903,RIO GRANDE CITY CISD,214901,D,Other Central City Suburban,41.0,Rural-Fringe,N,10184,No,No
904,RIO HONDO ISD,31911,G,Non-metropolitan Stable,31.0,Town-Fringe,N,1907,No,No
905,RIO VISTA ISD,126907,H,Rural,42.0,Rural-Distant,N,755,Yes,Yes
906,RISE ACADEMY,152802,I,Charter School Districts,12.0,City-Midsize,Y,300,No,No
907,RISING STAR ISD,67908,H,Rural,43.0,Rural-Remote,N,167,Yes,Yes
908,RIVER ROAD ISD,188902,D,Other Central City Suburban,22.0,Suburb-Midsize,N,1338,No,No
909,RIVERCREST ISD,194903,H,Rural,43.0,Rural-Remote,N,721,Yes,Yes
910,RIVIERA ISD,137903,H,Rural,43.0,Rural-Remote,N,444,Yes,Yes
911,ROBERT LEE ISD,41902,H,Rural,42.0,Rural-Distant,N,285,Yes,Yes
912,ROBINSON ISD,161922,D,Other Central City Suburban,22.0,Suburb-Midsize,N,2411,No,No
913,ROBSTOWN ISD,178909,G,Non-metropolitan Stable,31.0,Town-Fringe,N,2758,No,No
914,ROBY CISD,76903,F,Non-metropolitan Fast Growing,43.0,Rural-Remote,N,297,No,Yes
915,ROCHELLE ISD,160904,H,Rural,42.0,Rural-Distant,N,179,Yes,Yes
916,ROCKDALE ISD,166904,E,Independent Town,32.0,Town-Distant,N,1504,No,No
917,ROCKSPRINGS ISD,69901,H,Rural,43.0,Rural-Remote,N,306,Yes,Yes
918,ROCKWALL ISD,199901,C,Other Central City,21.0,Suburb-Large,N,16587,No,No
919,ROGERS ISD,14907,H,Rural,42.0,Rural-Distant,N,869,Yes,Yes
920,ROMA ISD,214903,E,Independent Town,41.0,Rural-Fringe,N,6238,No,No
921,ROOSEVELT ISD,152908,D,Other Central City Suburban,42.0,Rural-Distant,N,1066,No,Yes
922,ROPES ISD,110905,F,Non-metropolitan Fast Growing,42.0,Rural-Distant,N,479,No,Yes
923,ROSCOE COLLEGIATE ISD,177901,F,Non-metropolitan Fast Growing,42.0,Rural-Distant,N,645,No,Yes
924,ROSEBUD-LOTT ISD,73905,H,Rural,42.0,Rural-Distant,N,682,Yes,Yes
925,ROTAN ISD,76904,H,Rural,43.0,Rural-Remote,N,257,Yes,Yes
926,ROUND ROCK ISD,246909,B,Major Suburban,12.0,City-Midsize,N,50387,No,No
927,ROUND TOP-CARMINE ISD,75908,H,Rural,43.0,Rural-Remote,N,267,Yes,Yes
928,ROXTON ISD,139908,H,Rural,42.0,Rural-Distant,N,137,Yes,Yes
929,ROYAL ISD,237905,D,Other Central City Suburban,41.0,Rural-Fringe,N,2371,No,Yes
930,ROYSE CITY ISD,199902,D,Other Central City Suburban,41.0,Rural-Fringe,N,6169,No,No
931,RULE ISD,104903,H,Rural,42.0,Rural-Distant,N,122,Yes,Yes
932,RUNGE ISD,128903,H,Rural,42.0,Rural-Distant,N,256,Yes,Yes
933,RUSK ISD,37907,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,2064,No,Yes
934,S AND S CISD,91914,D,Other Central City Suburban,41.0,Rural-Fringe,N,928,No,Yes
935,SABINAL ISD,232902,H,Rural,43.0,Rural-Remote,N,449,Yes,Yes
936,SABINE ISD,92906,D,Other Central City Suburban,41.0,Rural-Fringe,N,1495,No,Yes
937,SABINE PASS ISD,123913,H,Rural,42.0,Rural-Distant,N,371,Yes,Yes
938,SAINT JO ISD,169911,H,Rural,43.0,Rural-Remote,N,299,Yes,Yes
939,SALADO ISD,14908,D,Other Central City Suburban,42.0,Rural-Distant,N,1949,No,Yes
940,SALTILLO ISD,112909,H,Rural,42.0,Rural-Distant,N,241,Yes,Yes
941,SAM HOUSTON STATE UNIVERSITY CHART,236802,I,Charter School Districts,11.0,City-Large,Y,299,No,No
942,SAM RAYBURN ISD,74917,H,Rural,42.0,Rural-Distant,N,541,Yes,Yes
943,SAN ANGELO ISD,226903,C,Other Central City,12.0,City-Midsize,N,15080,No,No
944,SAN ANTONIO ISD,15907,A,Major Urban,11.0,City-Large,N,48745,No,No
945,SAN AUGUSTINE ISD,203901,H,Rural,43.0,Rural-Remote,N,756,Yes,Yes
946,SAN BENITO CISD,31912,D,Other Central City Suburban,22.0,Suburb-Midsize,N,10520,No,No
947,SAN DIEGO ISD,66902,G,Non-metropolitan Stable,32.0,Town-Distant,N,1477,No,No
948,SAN ELIZARIO ISD,71904,B,Major Suburban,21.0,Suburb-Large,N,3668,No,No
949,SAN FELIPE-DEL RIO CISD,233901,E,Independent Town,33.0,Town-Remote,N,10437,No,No
950,SAN ISIDRO ISD,214902,H,Rural,42.0,Rural-Distant,N,223,Yes,Yes
951,SAN MARCOS CISD,105902,C,Other Central City,23.0,Suburb-Small,N,8097,No,No
952,SAN PERLITA ISD,245904,H,Rural,42.0,Rural-Distant,N,269,Yes,Yes
953,SAN SABA ISD,206901,H,Rural,33.0,Town-Remote,N,762,Yes,No
954,SAN VICENTE ISD,22903,H,Rural,43.0,Rural-Remote,N,13,Yes,Yes
955,SANDS CISD,58909,H,Rural,43.0,Rural-Remote,N,253,Yes,Yes
956,SANFORD-FRITCH ISD,117903,H,Rural,32.0,Town-Distant,N,731,Yes,No
957,SANGER ISD,61908,D,Other Central City Suburban,41.0,Rural-Fringe,N,2759,No,Yes
958,SANTA ANNA ISD,42903,H,Rural,42.0,Rural-Distant,N,264,Yes,Yes
959,SANTA FE ISD,84909,D,Other Central City Suburban,22.0,Suburb-Midsize,N,4602,No,No
960,SANTA GERTRUDIS ISD,137904,F,Non-metropolitan Fast Growing,32.0,Town-Distant,N,804,No,No
961,SANTA MARIA ISD,31913,H,Rural,41.0,Rural-Fringe,N,636,Yes,Yes
962,SANTA ROSA ISD,31914,G,Non-metropolitan Stable,22.0,Suburb-Midsize,N,1107,No,No
963,SANTO ISD,182904,H,Rural,43.0,Rural-Remote,N,463,Yes,Yes
964,SAVOY ISD,74911,H,Rural,42.0,Rural-Distant,N,322,Yes,Yes
965,SCHERTZ-CIBOLO-U CITY ISD,94902,C,Other Central City,21.0,Suburb-Large,N,15818,No,No
966,SCHLEICHER ISD,207901,H,Rural,43.0,Rural-Remote,N,515,Yes,Yes
967,SCHOOL OF EXCELLENCE IN EDUCATION,15806,I,Charter School Districts,11.0,City-Large,Y,649,No,No
968,SCHOOL OF SCIENCE AND TECHNOLOGY,15827,I,Charter School Districts,11.0,City-Large,Y,1851,No,No
969,SCHOOL OF SCIENCE AND TECHNOLOGY D,15831,I,Charter School Districts,11.0,City-Large,Y,2382,No,No
970,SCHULENBURG ISD,75903,H,Rural,33.0,Town-Remote,N,732,Yes,No
971,SCURRY-ROSSER ISD,129910,D,Other Central City Suburban,42.0,Rural-Distant,N,1054,No,Yes
972,SEAGRAVES ISD,83901,H,Rural,43.0,Rural-Remote,N,577,Yes,Yes
973,SEALY ISD,8902,D,Other Central City Suburban,41.0,Rural-Fringe,N,2803,No,Yes
974,SEASHORE CHARTER SCHOOLS,178808,I,Charter School Districts,11.0,City-Large,Y,487,No,No
975,SEGUIN ISD,94901,D,Other Central City Suburban,31.0,Town-Fringe,N,7366,No,No
976,SEMINOLE ISD,83903,G,Non-metropolitan Stable,33.0,Town-Remote,N,2956,No,No
977,SER-NINOS CHARTER SCHOOL,101802,I,Charter School Districts,11.0,City-Large,Y,1129,No,No
978,SEYMOUR ISD,12901,H,Rural,43.0,Rural-Remote,N,582,Yes,Yes
979,SHALLOWATER ISD,152909,D,Other Central City Suburban,31.0,Town-Fringe,N,1694,No,No
980,SHAMROCK ISD,242902,H,Rural,43.0,Rural-Remote,N,367,Yes,Yes
981,SHARYLAND ISD,108911,D,Other Central City Suburban,13.0,City-Small,N,10285,No,No
982,SHELBYVILLE ISD,210903,H,Rural,42.0,Rural-Distant,N,783,Yes,Yes
983,SHELDON ISD,101924,B,Major Suburban,21.0,Suburb-Large,N,9401,No,No
984,SHEPHERD ISD,204904,E,Independent Town,42.0,Rural-Distant,N,2041,No,Yes
985,SHERMAN ISD,91906,C,Other Central City,13.0,City-Small,N,7405,No,No
986,SHINER ISD,143903,H,Rural,42.0,Rural-Distant,N,666,Yes,Yes
987,SIDNEY ISD,47905,H,Rural,42.0,Rural-Distant,N,139,Yes,Yes
988,SIERRA BLANCA ISD,115902,H,Rural,43.0,Rural-Remote,N,113,Yes,Yes
989,SILSBEE ISD,100904,E,Independent Town,31.0,Town-Fringe,N,2968,No,No
990,SILVERTON ISD,23902,H,Rural,43.0,Rural-Remote,N,191,Yes,Yes
991,SIMMS ISD,19909,H,Rural,42.0,Rural-Distant,N,517,Yes,Yes
992,SINTON ISD,205906,E,Independent Town,32.0,Town-Distant,N,2139,No,No
993,SIVELLS BEND ISD,49909,H,Rural,43.0,Rural-Remote,N,68,Yes,Yes
994,SKIDMORE-TYNAN ISD,13905,H,Rural,42.0,Rural-Distant,N,834,Yes,Yes
995,SLATON ISD,152903,G,Non-metropolitan Stable,31.0,Town-Fringe,N,1344,No,No
996,SLIDELL ISD,249908,H,Rural,42.0,Rural-Distant,N,271,Yes,Yes
997,SLOCUM ISD,1909,H,Rural,43.0,Rural-Remote,N,406,Yes,Yes
998,SMITHVILLE ISD,11904,G,Non-metropolitan Stable,32.0,Town-Distant,N,1802,No,No
999,SMYER ISD,110906,H,Rural,42.0,Rural-Distant,N,436,Yes,Yes
1000,SNOOK ISD,26903,H,Rural,42.0,Rural-Distant,N,513,Yes,Yes
1001,SNYDER ISD,208902,G,Non-metropolitan Stable,33.0,Town-Remote,N,2659,No,No
1002,SOCORRO ISD,71909,A,Major Urban,11.0,City-Large,N,46814,No,No
1003,SOMERSET ISD,15909,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,4158,No,Yes
1004,SOMERVILLE ISD,26902,H,Rural,42.0,Rural-Distant,N,529,Yes,Yes
1005,SONORA ISD,218901,H,Rural,33.0,Town-Remote,N,808,Yes,No
1006,SOUTH PLAINS ACADEMY CHARTER DISTR,152803,I,Charter School Districts,12.0,City-Midsize,Y,216,No,No
1007,SOUTH SAN ANTONIO ISD,15908,B,Major Suburban,11.0,City-Large,N,8939,No,No
1008,SOUTH TEXAS ISD,31916,F,Non-metropolitan Fast Growing,41.0,Rural-Fringe,N,4098,No,Yes
1009,SOUTHLAND ISD,85903,H,Rural,42.0,Rural-Distant,N,123,Yes,Yes
1010,SOUTHSIDE ISD,15917,B,Major Suburban,41.0,Rural-Fringe,N,5663,No,No
1011,SOUTHWEST ISD,15912,B,Major Suburban,41.0,Rural-Fringe,N,13759,No,No
1012,SOUTHWEST PREPARATORY SCHOOL,15807,I,Charter School Districts,11.0,City-Large,Y,983,No,No
1013,SOUTHWEST SCHOOL,101838,I,Charter School Districts,11.0,City-Large,Y,1993,No,No
1014,SPEARMAN ISD,98904,H,Rural,33.0,Town-Remote,N,863,Yes,No
1015,SPLENDORA ISD,170907,D,Other Central City Suburban,41.0,Rural-Fringe,N,4108,No,Yes
1016,SPRING BRANCH ISD,101920,B,Major Suburban,11.0,City-Large,N,34681,No,No
1017,SPRING CREEK ISD,117907,H,Rural,43.0,Rural-Remote,N,92,Yes,Yes
1018,SPRING HILL ISD,92907,D,Other Central City Suburban,13.0,City-Small,N,2019,No,No
1019,SPRING ISD,101919,B,Major Suburban,21.0,Suburb-Large,N,35385,No,No
1020,SPRINGLAKE-EARTH ISD,140907,H,Rural,43.0,Rural-Remote,N,351,Yes,Yes
1021,SPRINGTOWN ISD,184902,D,Other Central City Suburban,31.0,Town-Fringe,N,3473,No,No
1022,SPUR ISD,63903,H,Rural,43.0,Rural-Remote,N,246,Yes,Yes
1023,SPURGER ISD,229905,H,Rural,43.0,Rural-Remote,N,372,Yes,Yes
1024,ST ANTHONY SCHOOL,57836,I,Charter School Districts,11.0,City-Large,Y,309,No,No
1025,ST MARY'S ACADEMY CHARTER SCHOOL,13801,I,Charter School Districts,32.0,Town-Distant,Y,430,No,No
1026,STAFFORD MSD,79910,B,Major Suburban,21.0,Suburb-Large,N,3589,No,No
1027,STAMFORD ISD,127906,H,Rural,32.0,Town-Distant,N,647,Yes,No
1028,STANTON ISD,156902,D,Other Central City Suburban,42.0,Rural-Distant,N,1098,No,Yes
1029,STEP CHARTER SCHOOL,101859,I,Charter School Districts,11.0,City-Large,Y,505,No,No
1030,STEPHEN F AUSTIN STATE UNIVERSITY,174801,I,Charter School Districts,33.0,Town-Remote,Y,256,No,No
1031,STEPHENVILLE ISD,72903,E,Independent Town,33.0,Town-Remote,N,3697,No,No
1032,STERLING CITY ISD,216901,H,Rural,43.0,Rural-Remote,N,327,Yes,Yes
1033,STOCKDALE ISD,247906,H,Rural,42.0,Rural-Distant,N,830,Yes,Yes
1034,STRATFORD ISD,211902,H,Rural,43.0,Rural-Remote,N,577,Yes,Yes
1035,STRAWN ISD,182905,H,Rural,43.0,Rural-Remote,N,167,Yes,Yes
1036,SUDAN ISD,140908,H,Rural,43.0,Rural-Remote,N,475,Yes,Yes
1037,SULPHUR BLUFF ISD,112910,H,Rural,43.0,Rural-Remote,N,241,Yes,Yes
1038,SULPHUR SPRINGS ISD,112901,E,Independent Town,33.0,Town-Remote,N,4399,No,No
1039,SUNDOWN ISD,110907,H,Rural,42.0,Rural-Distant,N,614,Yes,Yes
1040,SUNNYVALE ISD,57919,F,Non-metropolitan Fast Growing,41.0,Rural-Fringe,N,1882,No,Yes
1041,SUNRAY ISD,171902,H,Rural,42.0,Rural-Distant,N,556,Yes,Yes
1042,SWEENY ISD,20906,D,Other Central City Suburban,32.0,Town-Distant,N,1978,No,No
1043,SWEET HOME ISD,143905,H,Rural,42.0,Rural-Distant,N,143,Yes,Yes
1044,SWEETWATER ISD,177902,G,Non-metropolitan Stable,32.0,Town-Distant,N,2162,No,No
1045,TAFT ISD,205907,D,Other Central City Suburban,31.0,Town-Fringe,N,1047,No,No
1046,TAHOKA ISD,153904,H,Rural,32.0,Town-Distant,N,620,Yes,No
1047,TARKINGTON ISD,146907,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1810,No,Yes
1048,TATUM ISD,201910,D,Other Central City Suburban,42.0,Rural-Distant,N,1515,No,Yes
1049,TAYLOR ISD,246911,D,Other Central City Suburban,41.0,Rural-Fringe,N,3191,No,Yes
1050,TEAGUE ISD,81904,G,Non-metropolitan Stable,33.0,Town-Remote,N,1168,No,No
1051,TEKOA ACADEMY OF ACCELERATED STUDI,123803,I,Charter School Districts,13.0,City-Small,Y,464,No,No
1052,TEMPLE ISD,14909,D,Other Central City Suburban,13.0,City-Small,N,8752,No,No
1053,TENAHA ISD,210904,H,Rural,42.0,Rural-Distant,N,542,Yes,Yes
1054,TERLINGUA CSD,22004,H,Rural,43.0,Rural-Remote,N,101,Yes,Yes
1055,TERRELL COUNTY ISD,222901,H,Rural,43.0,Rural-Remote,N,121,Yes,Yes
1056,TERRELL ISD,129906,C,Other Central City,32.0,Town-Distant,N,4711,No,No
1057,TEXANS CAN ACADEMIES,57804,I,Charter School Districts,11.0,City-Large,Y,5071,No,No
1058,TEXARKANA ISD,19907,E,Independent Town,13.0,City-Small,N,7174,No,No
1059,TEXAS CITY ISD,84906,D,Other Central City Suburban,22.0,Suburb-Midsize,N,8641,No,No
1060,TEXAS COLLEGE PREPARATORY ACADEMIE,221801,I,Charter School Districts,21.0,Suburb-Large,Y,12116,No,No
1061,TEXAS EMPOWERMENT ACADEMY,227805,I,Charter School Districts,11.0,City-Large,Y,334,No,No
1062,TEXAS JUVENILE JUSTICE DEPARTMENT,227622,,,33.0,Town-Remote,N,936,No,No
1063,TEXAS LEADERSHIP,226801,I,Charter School Districts,12.0,City-Midsize,Y,2793,No,No
1064,TEXAS PREPARATORY SCHOOL,105802,I,Charter School Districts,23.0,Suburb-Small,Y,228,No,No
1065,TEXAS SCH FOR THE BLIND & VISUALLY,227905,,,11.0,City-Large,N,131,No,No
1066,TEXAS SCH FOR THE DEAF,227906,,,11.0,City-Large,N,494,No,No
1067,TEXAS SCHOOL OF THE ARTS,220814,I,Charter School Districts,21.0,Suburb-Large,Y,332,No,No
1068,TEXAS SERENITY ACADEMY,170801,I,Charter School Districts,21.0,Suburb-Large,Y,408,No,No
1069,TEXHOMA ISD,211901,H,Rural,43.0,Rural-Remote,N,172,Yes,Yes
1070,TEXLINE ISD,56902,H,Rural,43.0,Rural-Remote,N,180,Yes,Yes
1071,THE EXCEL CENTER,227828,I,Charter School Districts,11.0,City-Large,Y,118,No,No
1072,THE EXCEL CENTER (FOR ADULTS),227827,I,Charter School Districts,11.0,City-Large,Y,382,No,No
1073,THE LAWSON ACADEMY,101864,I,Charter School Districts,11.0,City-Large,Y,226,No,No
1074,THE PRO-VISION ACADEMY,101868,I,Charter School Districts,11.0,City-Large,Y,478,No,No
1075,THE RHODES SCHOOL,101861,I,Charter School Districts,21.0,Suburb-Large,Y,1236,No,No
1076,THE VARNETT PUBLIC SCHOOL,101814,I,Charter School Districts,11.0,City-Large,Y,1721,No,No
1077,THORNDALE ISD,166905,H,Rural,42.0,Rural-Distant,N,557,Yes,Yes
1078,THRALL ISD,246912,H,Rural,42.0,Rural-Distant,N,736,Yes,Yes
1079,THREE RIVERS ISD,149902,H,Rural,43.0,Rural-Remote,N,628,Yes,Yes
1080,THREE WAY ISD,72901,H,Rural,42.0,Rural-Distant,N,163,Yes,Yes
1081,THROCKMORTON ISD,224901,H,Rural,43.0,Rural-Remote,N,147,Yes,Yes
1082,TIDEHAVEN ISD,158902,F,Non-metropolitan Fast Growing,42.0,Rural-Distant,N,979,No,Yes
1083,TIMPSON ISD,210905,H,Rural,43.0,Rural-Remote,N,678,Yes,Yes
1084,TIOGA ISD,91907,F,Non-metropolitan Fast Growing,42.0,Rural-Distant,N,675,No,Yes
1085,TOLAR ISD,111903,E,Independent Town,42.0,Rural-Distant,N,797,No,Yes
1086,TOM BEAN ISD,91918,H,Rural,42.0,Rural-Distant,N,664,Yes,Yes
1087,TOMBALL ISD,101921,B,Major Suburban,21.0,Suburb-Large,N,16962,No,No
1088,TORNILLO ISD,71908,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1025,No,Yes
1089,TREETOPS SCHOOL INTERNATIONAL,220801,I,Charter School Districts,21.0,Suburb-Large,Y,391,No,No
1090,TRENT ISD,221905,H,Rural,42.0,Rural-Distant,N,171,Yes,Yes
1091,TRENTON ISD,74912,H,Rural,42.0,Rural-Distant,N,600,Yes,Yes
1092,TRINIDAD ISD,107907,H,Rural,42.0,Rural-Distant,N,182,Yes,Yes
1093,TRINITY BASIN PREPARATORY,57813,I,Charter School Districts,11.0,City-Large,Y,3496,No,No
1094,TRINITY CHARTER SCHOOL,46802,I,Charter School Districts,41.0,Rural-Fringe,Y,448,No,Yes
1095,TRINITY ENVIRONMENTAL ACADEMY,57849,I,Charter School Districts,11.0,City-Large,Y,298,No,No
1096,TRINITY ISD,228903,G,Non-metropolitan Stable,32.0,Town-Distant,N,1188,No,No
1097,TRIVIUM ACADEMY,61805,I,Charter School Districts,21.0,Suburb-Large,Y,593,No,No
1098,TROUP ISD,212904,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1102,No,Yes
1099,TROY ISD,14910,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1542,No,Yes
1100,TULIA ISD,219903,G,Non-metropolitan Stable,33.0,Town-Remote,N,1094,No,No
1101,TULOSO-MIDWAY ISD,178912,D,Other Central City Suburban,11.0,City-Large,N,3941,No,No
1102,TURKEY-QUITAQUE ISD,96905,H,Rural,43.0,Rural-Remote,N,221,Yes,Yes
1103,TWO DIMENSIONS PREPARATORY ACADEMY,101840,I,Charter School Districts,21.0,Suburb-Large,Y,503,No,No
1104,TYLER ISD,212905,C,Other Central City,12.0,City-Midsize,N,18130,No,No
1105,UME PREPARATORY ACADEMY,57845,I,Charter School Districts,41.0,Rural-Fringe,Y,844,No,Yes
1106,UNION GROVE ISD,230908,H,Rural,41.0,Rural-Fringe,N,754,Yes,Yes
1107,UNION HILL ISD,230904,F,Non-metropolitan Fast Growing,42.0,Rural-Distant,N,345,No,Yes
1108,UNITED ISD,240903,C,Other Central City,11.0,City-Large,N,43364,No,No
1109,UNIVERSAL ACADEMY,57808,I,Charter School Districts,21.0,Suburb-Large,Y,2058,No,No
1110,UNIVERSITY OF HOUSTON CHARTER SCHO,101807,I,Charter School Districts,11.0,City-Large,Y,135,No,No
1111,UNIVERSITY OF TEXAS ELEMENTARY CHA,227819,I,Charter School Districts,11.0,City-Large,Y,298,No,No
1112,UNIVERSITY OF TEXAS UNIVERSITY CHA,227806,I,Charter School Districts,11.0,City-Large,Y,638,No,No
1113,UPLIFT EDUCATION,57803,I,Charter School Districts,11.0,City-Large,Y,18709,No,No
1114,UT TYLER INNOVATION ACADEMY,212804,I,Charter School Districts,12.0,City-Midsize,Y,738,No,No
1115,UTOPIA ISD,232904,H,Rural,43.0,Rural-Remote,N,242,Yes,Yes
1116,UTPB STEM ACADEMY,68803,I,Charter School Districts,12.0,City-Midsize,Y,721,No,No
1117,UVALDE CISD,232903,E,Independent Town,33.0,Town-Remote,N,4273,No,No
1118,VALENTINE ISD,122902,H,Rural,43.0,Rural-Remote,N,38,Yes,Yes
1119,VALLEY MILLS ISD,18904,H,Rural,42.0,Rural-Distant,N,650,Yes,Yes
1120,VALLEY VIEW ISD,49903,H,Rural,42.0,Rural-Distant,N,849,Yes,Yes
1121,VALLEY VIEW ISD,108916,D,Other Central City Suburban,21.0,Suburb-Large,N,4438,No,No
1122,VALOR PUBLIC SCHOOLS,227829,,,,,Y,459,No,No
1123,VAN ALSTYNE ISD,91908,D,Other Central City Suburban,41.0,Rural-Fringe,N,1707,No,Yes
1124,VAN ISD,234906,D,Other Central City Suburban,32.0,Town-Distant,N,2420,No,No
1125,VAN VLECK ISD,158906,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1045,No,Yes
1126,VANGUARD ACADEMY,108808,I,Charter School Districts,21.0,Suburb-Large,Y,4180,No,No
1127,VEGA ISD,180902,H,Rural,43.0,Rural-Remote,N,380,Yes,Yes
1128,VENUS ISD,126908,D,Other Central City Suburban,31.0,Town-Fringe,N,2203,No,No
1129,VERIBEST ISD,226908,H,Rural,42.0,Rural-Distant,N,285,Yes,Yes
1130,VERNON ISD,244903,G,Non-metropolitan Stable,33.0,Town-Remote,N,1984,No,No
1131,VICTORIA ISD,235902,E,Independent Town,13.0,City-Small,N,14118,No,No
1132,VIDOR ISD,181907,D,Other Central City Suburban,22.0,Suburb-Midsize,N,4548,No,No
1133,VILLAGE TECH SCHOOLS,57847,I,Charter School Districts,21.0,Suburb-Large,Y,1115,No,No
1134,VISTA DEL FUTURO CHARTER SCHOOL,71809,I,Charter School Districts,11.0,City-Large,Y,368,No,No
1135,VYSEHRAD ISD,143904,H,Rural,43.0,Rural-Remote,N,126,Yes,Yes
1136,WACO CHARTER SCHOOL,161801,I,Charter School Districts,12.0,City-Midsize,Y,212,No,No
