distname,district_id,county,dflchart,dflalted,asvab_status,tea description,nces description,charter school (y/n),tea district type,nces district type,region,cntyname,district 2023 staff: teacher student ratio,district 2022-23 total students count,district 2023 staff: all staff total full time equiv count,district 2022-23 african american students percent,district 2022-23 american indian students percent,district 2022-23 asian students percent,district 2022-23 hispanic students percent,district 2022-23 pacific islander students percent,district 2022-23 white students percent,district 2022-23 two or more races students percent,district 2022-23 economically disadvantaged students percent,district 2022-23 title i students percent,district 2022-23 special education students percent,district 2022-23 section 504 students percent,district 2022-23 bilingual/esl education students percent,district 2022-23 emergent bilingual/english learner students percent,district 2022-23 homeless students percent,district 2022-23 immigrant students percent,district 2022-23 migrant students percent,district 2022-23 military connected students percent,district 2022-23 foster care students percent,district 2022-23 gifted & talented education students percent
SPRINGTOWN ISD,184902,'184,N,N, ,Other Central City Suburban,Town-Fringe,N,D,31,'11,PARKER,13.8,4120.0,570.1,1.1,0.6,0.3,24.9,0.2,70.1,2.8,48.9,71.6,14.2,9.7,8.4,8.7,0.7,0.4,0.0,1.9,0.5,4.0
WEATHERFORD ISD,184903,'184,N,N, ,Other Central City,Town-Fringe,N,C,31,'11,PARKER,14.4,8255.0,1127.8,2.2,0.7,0.5,29.7,0.1,63.0,3.9,47.4,57.3,17.9,8.5,9.4,9.7,1.0,0.4,0.1,7.3,0.4,7.1
MILLSAP ISD,184904,'184,N,N, ,Other Central City Suburban,Rural-Distant,N,D,42,'11,PARKER,12.6,1099.0,172.4,1.0,0.4,0.3,15.8,0.3,79.3,2.9,47.2,69.8,14.0,12.6,3.5,3.5,1.6,0.5,0.0,9.0,0.2,6.2
ALEDO ISD,184907,'184,N,N, ,Major Suburban,Rural-Fringe,N,B,41,'11,PARKER,15.6,7857.0,887.8,1.6,0.3,0.9,18.4,0.0,74.3,4.6,15.5,17.7,11.1,11.5,2.8,2.8,0.6,0.3,0.0,10.2,0.1,7.7
PEASTER ISD,184908,'184,N,N, ,Other Central City Suburban,Rural-Distant,N,D,42,'11,PARKER,14.3,1750.0,216.8,0.3,0.3,0.3,14.7,0.6,80.5,3.3,27.1,49.3,8.3,8.4,3.1,3.1,0.6,0.0,0.0,5.0,0.0,6.9
BROCK ISD,184909,'184,N,N, ,Other Central City Suburban,Rural-Distant,N,D,42,'11,PARKER,13.1,2085.0,259.9,0.4,0.4,0.5,11.3,0.2,84.3,3.0,3.9,26.5,9.4,10.9,1.9,1.9,0.0,0.0,0.0,1.6,0.0,6.1
GARNER ISD,184911,'184,N,N,ASVAB Test not Offered,Non-metropolitan Fast Growing,Rural-Distant,N,F,42,'11,PARKER,10.7,323.0,56.0,0.6,0.0,0.3,25.4,0.3,69.7,3.7,54.5,100.0,16.1,7.7,5.9,5.9,0.3,0.0,0.0,1.9,0.3,6.5
BOVINA ISD,185901,'185,N,N, ,Rural,Rural-Remote,N,H,43,'16,PARMER,9.6,425.0,90.0,0.0,0.0,0.0,93.4,0.0,5.6,0.9,85.4,99.8,17.4,4.5,28.7,29.2,0.5,0.9,6.4,0.0,0.0,9.2
FARWELL ISD,185902,'185,N,N, ,Rural,Rural-Distant,N,H,42,'16,PARMER,9.9,606.0,111.6,0.2,0.0,0.2,52.5,0.0,46.5,0.7,55.9,100.0,12.7,3.0,16.7,16.7,0.0,0.0,2.0,1.3,0.0,5.4
FRIONA ISD,185903,'185,N,N, ,Non-metropolitan Stable,Town-Remote,N,G,33,'16,PARMER,10.5,1063.0,208.8,0.2,0.0,0.1,89.5,0.0,9.9,0.4,67.9,100.0,10.7,5.5,36.2,38.7,1.2,4.3,5.2,0.5,0.0,3.9
LAZBUDDIE ISD,185904,'185,N,N, ,Rural,Rural-Remote,N,H,43,'16,PARMER,8.9,130.0,33.1,0.8,0.8,0.0,36.2,0.0,62.3,0.0,69.2,100.0,12.3,10.0,20.0,20.8,0.0,3.8,0.8,2.3,0.0,3.1
BUENA VISTA ISD,186901,'186,N,N, ,Rural,Rural-Remote,N,H,43,'18,PECOS,13.2,251.0,41.0,3.2,0.0,0.0,70.1,0.0,25.5,1.2,56.2,100.0,10.4,2.0,14.7,16.7,9.2,0.0,3.2,0.0,0.0,6.8
FORT STOCKTON ISD,186902,'186,N,N, ,Non-metropolitan Stable,Town-Remote,N,G,33,'18,PECOS,14.2,2187.0,350.2,0.4,0.3,0.8,88.8,0.1,9.1,0.6,70.6,100.0,14.8,3.9,11.5,12.3,0.0,0.7,0.5,0.1,0.0,4.5
IRAAN-SHEFFIELD COLLEGIATE ISD,186903,'186,N,N, ,Rural,Rural-Remote,N,H,43,'18,PECOS,10.8,335.0,74.7,0.6,0.0,1.2,69.9,0.0,28.4,0.0,60.3,100.0,13.1,4.8,14.0,14.0,0.0,0.0,0.0,3.0,0.0,6.0
BIG SANDY ISD,187901,'187,N,N, ,Rural,Rural-Remote,N,H,43,'06,POLK,12.3,512.0,91.0,1.4,19.7,0.2,8.2,0.2,65.8,4.5,62.5,100.0,16.4,13.7,0.4,0.2,2.3,0.0,0.0,0.4,0.0,6.3
GOODRICH ISD,187903,'187,N,N, ,Rural,Rural-Distant,N,H,42,'06,POLK,12.2,262.0,46.9,13.7,0.4,0.4,44.7,0.0,35.9,5.0,84.4,100.0,9.9,3.4,20.2,20.2,0.4,0.0,0.0,1.5,0.0,0.4
CORRIGAN-CAMDEN ISD,187904,'187,N,N, ,Rural,Rural-Remote,N,H,43,'06,POLK,12.0,836.0,146.5,18.3,0.1,0.8,39.8,0.1,34.4,6.3,68.7,100.0,14.4,7.5,8.9,9.3,0.0,0.6,0.8,1.4,0.4,9.2
LEGGETT ISD,187906,'187,N,N, ,Rural,Rural-Distant,N,H,42,'06,POLK,15.3,223.0,32.8,9.4,0.0,0.0,20.6,0.0,66.8,3.1,83.0,100.0,17.0,7.2,2.7,2.7,0.0,0.0,0.0,0.0,0.0,6.7
LIVINGSTON ISD,187907,'187,N,N, ,Independent Town,Rural-Fringe,N,E,41,'06,POLK,16.4,4061.0,507.1,8.8,0.2,0.6,28.3,0.0,57.4,4.7,65.4,49.9,15.4,8.9,10.2,10.5,1.5,0.1,0.0,0.1,0.0,3.8
ONALASKA ISD,187910,'187,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'06,POLK,14.1,1239.0,195.9,2.7,0.2,1.5,12.3,0.0,78.8,4.5,65.2,100.0,15.0,4.9,1.9,1.9,0.9,0.0,0.0,3.1,0.0,4.5
AMARILLO ISD,188901,'188,N,N, ,Other Central City,City-Midsize,N,C,12,'16,POTTER,14.5,30342.0,4222.3,10.3,0.5,4.9,46.9,0.1,34.1,3.2,71.1,80.0,15.6,4.8,17.9,17.9,3.9,1.0,0.3,0.3,0.1,5.4
RIVER ROAD ISD,188902,'188,N,N, ,Other Central City Suburban,Suburb-Midsize,N,D,22,'16,POTTER,11.7,1297.0,234.3,1.6,0.2,1.2,31.3,0.0,62.6,3.1,67.1,45.0,18.2,7.9,6.4,6.8,2.4,0.0,0.0,5.6,0.7,2.9
HIGHLAND PARK ISD,188903,'188,N,N, ,Rural,Rural-Fringe,N,H,41,'16,POTTER,11.8,789.0,127.8,2.5,0.6,5.3,45.0,0.0,43.5,3.0,50.2,99.9,14.3,10.8,7.6,8.2,0.6,0.0,0.0,1.3,0.5,4.3
BUSHLAND ISD,188904,'188,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'16,POTTER,12.2,1511.0,197.7,1.2,0.2,0.5,18.8,0.2,75.5,3.6,15.7,35.3,15.6,11.6,0.9,0.9,0.8,0.0,0.0,14.0,0.2,8.1
MARFA ISD,189901,'189,N,N, ,Rural,Rural-Remote,N,H,43,'18,PRESIDIO,9.0,233.0,55.8,0.9,0.0,0.0,91.8,0.0,6.9,0.4,48.5,100.0,15.5,0.4,16.3,16.7,0.0,3.4,0.0,1.7,0.0,0.4
PRESIDIO ISD,189902,'189,N,N, ,Non-metropolitan Stable,Town-Remote,N,G,33,'18,PRESIDIO,13.9,1020.0,201.7,0.3,0.2,0.9,98.1,0.0,0.4,0.1,93.7,100.0,8.6,1.2,62.7,63.2,0.0,5.1,0.3,0.2,0.0,10.2
RAINS ISD,190903,'190,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'07,RAINS,12.7,1754.0,316.2,2.9,1.1,0.5,19.4,0.2,71.7,4.2,62.5,100.0,15.1,13.7,7.7,8.2,2.5,0.2,0.1,7.7,0.2,6.4
CANYON ISD,191901,'191,N,N, ,Other Central City,City-Midsize,N,C,12,'16,RANDALL,15.0,11075.0,1429.3,3.2,0.5,1.7,29.8,0.1,62.3,2.5,36.4,31.2,13.4,9.2,3.5,3.6,1.7,0.2,0.0,2.1,0.6,4.5
REAGAN COUNTY ISD,192901,'192,N,N, ,Rural,Town-Remote,N,H,33,'18,REAGAN,10.0,801.0,161.7,0.0,0.0,0.7,84.5,0.0,14.4,0.4,63.7,71.8,12.2,8.1,18.1,19.0,0.2,1.1,0.0,1.5,0.1,6.5
BIG SPRINGS CHARTER SCHOOL,193801,'193,Y,N, ,Charter Schools,Rural-Remote,Y,I,43,'20,REAL,9.9,211.0,47.3,2.8,0.0,0.0,49.3,0.5,44.1,3.3,85.3,100.0,44.5,6.6,0.0,2.4,1.4,0.0,0.0,0.0,26.5,0.0
LEAKEY ISD,193902,'193,N,N, ,Rural,Rural-Remote,N,H,43,'20,REAL,12.2,361.0,68.8,0.3,0.0,0.0,33.5,0.0,63.2,3.0,51.5,100.0,16.3,7.2,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.2
AVERY ISD,194902,'194,N,N, ,Rural,Rural-Remote,N,H,43,'08,RED RIVER,9.6,335.0,67.3,1.2,1.5,0.6,9.0,0.3,79.1,8.4,63.6,100.0,14.0,11.6,1.2,1.2,4.5,0.0,0.0,6.6,0.0,6.3
RIVERCREST ISD,194903,'194,N,N, ,Rural,Rural-Remote,N,H,43,'08,RED RIVER,9.6,700.0,123.5,4.0,0.7,0.0,19.0,0.0,70.1,6.1,67.1,47.7,11.6,15.0,6.3,6.4,1.6,0.3,0.0,0.6,0.3,8.3
CLARKSVILLE ISD,194904,'194,N,N, ,Rural,Town-Remote,N,H,33,'08,RED RIVER,11.5,522.0,115.5,46.4,0.2,0.0,25.7,0.0,18.4,9.4,94.8,100.0,16.7,8.6,10.9,11.1,1.3,0.8,0.0,0.2,0.0,7.3
DETROIT ISD,194905,'194,N,N, ,Rural,Rural-Remote,N,H,43,'08,RED RIVER,9.7,490.0,132.5,4.3,0.8,0.2,7.3,0.2,81.8,5.3,70.6,100.0,17.6,14.9,0.4,0.4,1.0,0.0,0.2,1.8,0.0,6.1
PECOS-BARSTOW-TOYAH ISD,195901,'195,N,N, ,Non-metropolitan Stable,Town-Remote,N,G,33,'18,REEVES,14.5,2776.0,447.0,0.8,0.3,1.8,91.2,0.1,5.8,0.1,71.9,100.0,11.1,2.8,12.8,16.3,0.0,0.0,0.0,0.0,0.0,2.9
BALMORHEA ISD,195902,'195,N,N, ,Rural,Rural-Remote,N,H,43,'18,REEVES,7.2,144.0,39.0,0.0,0.0,0.0,84.7,0.0,13.9,1.4,82.6,100.0,12.5,3.5,10.4,11.1,0.0,0.0,0.0,6.3,0.0,0.7
AUSTWELL-TIVOLI ISD,196901,'196,N,N, ,Rural,Rural-Distant,N,H,42,'03,REFUGIO,6.8,144.0,37.2,1.4,0.0,0.0,65.3,0.0,33.3,0.0,59.0,100.0,25.7,4.2,2.1,2.1,0.0,0.0,0.0,0.0,0.0,4.2
WOODSBORO ISD,196902,'196,N,N, ,Rural,Rural-Distant,N,H,42,'03,REFUGIO,10.5,427.0,62.5,3.3,0.0,0.0,59.0,0.0,37.2,0.5,60.0,48.2,20.1,10.5,0.9,0.9,3.3,0.0,0.2,4.7,0.2,4.9
REFUGIO ISD,196903,'196,N,N, ,Rural,Town-Distant,N,H,32,'03,REFUGIO,11.5,654.0,146.0,7.5,0.6,0.2,70.0,0.0,20.5,1.2,67.9,100.0,19.1,12.1,6.0,6.0,1.1,0.0,0.0,0.2,0.2,2.3
MIAMI ISD,197902,'197,N,N, ,Rural,Rural-Remote,N,H,43,'16,ROBERTS,9.2,206.0,43.1,0.0,0.5,0.5,13.6,0.0,83.5,1.9,36.9,100.0,9.2,14.1,1.0,1.0,1.9,0.0,0.0,0.0,0.5,4.9
BREMOND ISD,198901,'198,N,N, ,Rural,Rural-Remote,N,H,43,'06,ROBERTSON,11.7,508.0,79.4,14.4,0.2,0.8,16.3,0.0,64.4,3.9,55.9,41.7,12.4,10.4,3.9,3.9,0.0,0.0,0.0,0.2,0.8,2.6
CALVERT ISD,198902,'198,N,N, ,Rural,Rural-Distant,N,H,42,'06,ROBERTSON,6.9,134.0,40.4,70.9,0.0,0.0,18.7,0.7,7.5,2.2,91.8,100.0,15.7,3.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,1.5
FRANKLIN ISD,198903,'198,N,N, ,Other Central City Suburban,Rural-Distant,N,D,42,'06,ROBERTSON,10.7,1353.0,269.6,7.0,0.3,1.6,19.1,0.2,68.6,3.2,39.8,39.5,14.3,14.4,3.5,3.5,0.1,0.0,0.0,5.8,0.9,6.7
HEARNE ISD,198905,'198,N,N, ,Rural,Town-Distant,N,H,32,'06,ROBERTSON,11.6,751.0,177.6,43.4,0.0,0.1,44.5,0.0,8.1,3.9,94.7,100.0,19.0,4.1,19.6,20.0,0.0,0.4,0.0,0.9,0.4,3.6
MUMFORD ISD,198906,'198,N,N, ,Rural,Rural-Distant,N,H,42,'06,ROBERTSON,14.7,600.0,74.2,4.5,0.3,0.3,51.3,0.0,42.0,1.5,63.7,60.7,9.2,3.5,19.2,20.2,0.0,0.0,0.0,0.0,0.0,19.7
ROCKWALL ISD,199901,'199,N,N, ,Other Central City,Suburb-Large,N,C,21,'10,ROCKWALL,16.4,18384.0,2126.8,11.0,0.6,3.3,24.4,0.2,55.8,4.8,27.6,18.8,13.6,11.4,9.4,9.6,0.1,0.6,0.0,8.4,0.4,8.4
ROYSE CITY ISD,199902,'199,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'10,ROCKWALL,15.0,8521.0,1141.5,13.0,0.6,1.5,35.7,0.2,45.0,4.0,42.1,44.0,15.5,9.9,14.3,15.0,0.2,0.9,0.0,10.0,0.4,7.2
BALLINGER ISD,200901,'200,N,N, ,Rural,Rural-Fringe,N,H,41,'15,RUNNELS,10.7,817.0,156.7,1.0,0.1,0.5,48.1,0.0,47.6,2.7,60.1,99.3,15.8,8.9,2.2,2.2,0.7,0.1,0.2,3.2,0.5,4.8
MILES ISD,200902,'200,N,N, ,Rural,Rural-Distant,N,H,42,'15,RUNNELS,11.1,512.0,82.7,1.2,0.2,0.0,35.4,0.0,61.7,1.6,40.6,54.5,10.7,13.3,9.0,9.0,2.7,3.1,2.9,4.3,1.0,7.6
WINTERS ISD,200904,'200,N,N, ,Rural,Town-Distant,N,H,32,'15,RUNNELS,10.1,561.0,120.8,0.9,0.0,0.4,58.5,0.2,37.3,2.9,70.4,99.6,15.3,11.8,2.9,3.0,1.1,0.0,0.0,0.4,0.9,10.0
OLFEN ISD,200906,'200,N,N, ,Rural,Rural-Distant,N,H,42,'15,RUNNELS,10.6,132.0,23.9,0.8,0.0,0.0,39.4,0.0,58.3,1.5,75.8,94.7,15.9,9.1,1.5,1.5,9.8,0.0,0.0,2.3,0.0,3.8
HENDERSON ISD,201902,'201,N,N, ,Independent Town,Town-Distant,N,E,32,'07,RUSK,14.0,3400.0,549.2,18.6,0.3,0.6,34.2,0.1,42.1,4.1,62.7,69.4,14.7,8.4,16.8,17.1,0.4,0.5,0.0,1.0,0.4,7.0
LANEVILLE ISD,201903,'201,N,N, ,Rural,Rural-Distant,N,H,42,'07,RUSK,9.6,150.0,33.8,34.0,0.0,0.0,31.3,0.0,27.3,7.3,72.7,100.0,16.7,6.0,15.3,15.3,0.7,0.0,0.0,2.0,1.3,0.7
LEVERETTS CHAPEL ISD,201904,'201,N,N, ,Rural,Rural-Distant,N,H,42,'07,RUSK,8.9,234.0,46.8,7.7,0.0,0.0,44.9,0.0,42.7,4.7,71.4,100.0,14.5,10.3,28.2,28.2,0.0,0.0,0.0,1.3,0.0,0.0
MOUNT ENTERPRISE ISD,201907,'201,N,N, ,Non-metropolitan Fast Growing,Rural-Remote,N,F,43,'07,RUSK,11.7,496.0,79.0,9.9,0.2,1.6,11.1,0.4,72.6,4.2,66.1,100.0,15.1,8.1,5.4,5.4,0.0,0.0,0.4,0.8,0.0,5.2
OVERTON ISD,201908,'201,N,N, ,Rural,Rural-Distant,N,H,42,'07,RUSK,10.1,494.0,96.9,10.3,0.4,0.4,11.3,0.4,71.3,5.9,69.0,99.6,16.4,12.6,2.8,2.8,2.0,0.4,0.0,5.7,1.4,8.9
TATUM ISD,201910,'201,N,N, ,Other Central City Suburban,Rural-Distant,N,D,42,'07,RUSK,13.7,1476.0,209.9,15.0,0.1,0.3,33.7,0.0,46.7,4.1,59.6,100.0,11.1,8.6,15.0,16.1,0.1,0.0,0.0,1.8,0.4,9.3
CARLISLE ISD,201913,'201,N,N, ,Rural,Rural-Distant,N,H,42,'07,RUSK,10.3,623.0,123.6,4.2,0.2,0.2,54.4,0.0,39.2,1.9,82.3,100.0,12.5,5.3,35.5,37.6,0.3,0.0,0.0,1.9,0.0,4.7
WEST RUSK COUNTY CONSOLIDATED ISD,201914,'201,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'07,RUSK,13.6,1048.0,165.8,10.4,0.7,0.2,28.9,0.1,54.7,5.1,75.5,100.0,13.9,7.4,13.1,13.5,4.2,1.2,0.5,0.0,0.1,6.2
HEMPHILL ISD,202903,'202,N,N, ,Rural,Rural-Remote,N,H,43,'07,SABINE,10.4,840.0,156.8,8.2,0.4,0.6,8.3,0.4,73.3,8.8,63.7,99.9,13.5,7.6,1.7,1.7,2.5,0.0,0.0,0.0,0.0,5.1
WEST SABINE ISD,202905,'202,N,N, ,Rural,Rural-Remote,N,H,43,'07,SABINE,11.4,608.0,94.6,9.2,0.5,0.0,5.8,0.0,80.8,3.8,72.2,100.0,14.3,9.0,0.7,0.7,0.2,0.0,0.2,2.1,0.3,5.3
SAN AUGUSTINE ISD,203901,'203,N,N, ,Rural,Rural-Remote,N,H,43,'07,SAN AUGUSTINE,12.5,657.0,136.2,53.0,0.0,0.2,26.0,0.0,17.4,3.5,86.1,100.0,16.4,9.1,16.9,16.4,0.0,0.3,1.4,0.0,1.1,3.5
BROADDUS ISD,203902,'203,N,N, ,Rural,Rural-Remote,N,H,43,'07,SAN AUGUSTINE,10.9,383.0,71.6,1.6,0.0,0.3,8.9,0.0,85.6,3.7,79.4,100.0,15.7,12.3,3.4,3.4,2.9,0.0,1.6,2.6,0.0,10.2
COLDSPRING-OAKHURST CISD,204901,'204,N,N, ,Other Central City Suburban,Rural-Distant,N,D,42,'06,SAN JACINTO,13.5,1622.0,288.5,15.1,0.4,0.3,12.1,0.1,67.0,5.1,62.1,100.0,14.9,5.5,1.7,1.8,0.9,0.2,0.0,0.4,0.3,7.2
SHEPHERD ISD,204904,'204,N,N, ,Other Central City Suburban,Rural-Distant,N,D,42,'06,SAN JACINTO,15.1,1958.0,289.9,4.2,0.1,0.2,41.8,0.0,48.1,5.6,81.9,69.1,12.5,7.0,21.2,22.1,2.8,0.8,0.0,3.6,0.1,5.9
ARANSAS PASS ISD,205901,'205,N,N, ,Other Central City Suburban,Town-Fringe,N,D,31,'02,SAN PATRICIO,14.4,1700.0,273.6,1.6,0.0,0.5,66.9,0.1,28.5,2.4,66.1,100.0,10.5,8.7,8.6,8.9,7.6,0.5,0.2,0.9,0.9,4.3
GREGORY-PORTLAND ISD,205902,'205,N,N, ,Other Central City Suburban,Suburb-Large,N,D,21,'02,SAN PATRICIO,14.4,4937.0,736.6,1.3,0.2,2.2,60.5,0.2,33.6,2.0,51.3,35.9,14.8,9.0,5.5,5.8,0.1,0.7,0.1,4.2,0.3,6.6
INGLESIDE ISD,205903,'205,N,N, ,Other Central City Suburban,Town-Fringe,N,D,31,'02,SAN PATRICIO,15.8,2023.0,287.9,1.3,0.6,0.6,53.4,0.1,41.8,2.2,66.9,100.0,17.1,7.5,9.6,9.8,0.9,0.9,0.0,1.5,0.4,2.8
MATHIS ISD,205904,'205,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'02,SAN PATRICIO,14.4,1485.0,248.8,0.7,0.1,0.2,87.1,0.0,11.4,0.5,85.3,100.0,15.6,8.9,0.7,1.1,1.5,0.0,0.3,0.3,0.7,4.4
ODEM-EDROY ISD,205905,'205,N,N, ,Non-metropolitan Stable,Town-Fringe,N,G,31,'02,SAN PATRICIO,12.9,897.0,159.5,0.3,0.0,0.1,84.6,0.0,14.3,0.7,67.8,99.9,8.6,11.5,2.9,2.9,1.2,0.0,0.0,1.0,0.0,8.5
SINTON ISD,205906,'205,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'02,SAN PATRICIO,13.1,2071.0,341.9,1.1,0.2,0.4,81.5,0.0,16.3,0.6,70.1,98.2,16.1,12.2,1.6,1.8,0.2,0.1,0.1,1.2,0.2,5.4
TAFT ISD,205907,'205,N,N, ,Rural,Town-Fringe,N,H,31,'02,SAN PATRICIO,11.7,822.0,163.9,0.6,0.2,0.0,89.7,0.1,8.9,0.5,88.0,70.6,12.3,9.5,2.6,2.6,1.7,0.2,1.1,1.9,0.0,3.8
SAN SABA ISD,206901,'206,N,N, ,Rural,Town-Remote,N,H,33,'15,SAN SABA,9.3,684.0,133.8,0.0,0.0,0.6,59.8,0.1,38.3,1.2,74.9,100.0,14.2,8.6,24.3,24.6,0.1,0.0,0.3,1.3,0.6,7.0
RICHLAND SPRINGS ISD,206902,'206,N,N, ,Rural,Rural-Remote,N,H,43,'15,SAN SABA,9.3,139.0,33.6,0.7,0.7,0.0,14.4,0.0,84.2,0.0,57.6,99.3,18.0,16.5,1.4,1.4,1.4,0.0,0.0,2.2,0.0,8.6
CHEROKEE ISD,206903,'206,N,N, ,Rural,Rural-Remote,N,H,43,'15,SAN SABA,7.1,139.0,32.0,4.3,2.2,0.0,17.3,0.0,74.8,1.4,59.7,100.0,12.2,11.5,0.7,0.7,0.7,0.0,0.0,7.9,0.7,7.9
SCHLEICHER ISD,207901,'207,N,N, ,Rural,Rural-Remote,N,H,43,'15,SCHLEICHER,8.9,476.0,98.3,0.2,0.0,0.0,71.8,0.0,26.9,1.1,65.8,99.8,11.6,7.8,12.8,11.3,1.7,0.6,0.8,5.3,0.2,6.9
HERMLEIGH ISD,208901,'208,N,N, ,Rural,Rural-Distant,N,H,42,'14,SCURRY,10.5,243.0,41.2,1.2,0.0,0.0,38.3,0.0,58.8,1.6,45.7,100.0,10.3,7.8,6.2,6.2,5.8,0.0,0.0,0.0,0.0,11.9
SNYDER ISD,208902,'208,N,N, ,Non-metropolitan Stable,Town-Remote,N,G,33,'14,SCURRY,13.1,2560.0,387.1,2.0,0.2,1.0,65.5,0.1,29.5,1.8,71.5,49.4,13.2,4.5,15.4,12.9,0.5,0.5,1.0,0.3,1.1,4.9
IRA ISD,208903,'208,N,N, ,Rural,Rural-Distant,N,H,42,'14,SCURRY,11.4,267.0,37.3,0.4,0.0,0.0,22.1,0.0,76.4,1.1,23.6,0.0,7.1,4.5,1.5,1.5,0.7,0.0,0.0,0.0,0.0,1.1
ALBANY ISD,209901,'209,N,N, ,Rural,Rural-Remote,N,H,43,'14,SHACKELFORD,11.4,498.0,83.9,0.8,0.4,0.6,20.7,0.2,74.1,3.2,44.2,100.0,13.9,9.8,2.8,2.8,2.0,0.2,0.0,3.8,1.6,4.4
MORAN ISD,209902,'209,N,N, ,Rural,Rural-Remote,N,H,43,'14,SHACKELFORD,6.3,106.0,27.8,0.0,0.0,0.0,12.3,0.9,84.9,1.9,89.6,100.0,22.6,14.2,0.0,0.0,13.2,0.0,0.0,0.0,0.9,0.9
CENTER ISD,210901,'210,N,N, ,Non-metropolitan Stable,Town-Remote,N,G,33,'07,SHELBY,14.3,2491.0,385.1,19.9,0.4,3.6,44.7,0.2,28.4,2.9,77.7,100.0,13.2,7.8,33.3,33.9,0.9,0.4,0.8,0.3,0.4,2.0
JOAQUIN ISD,210902,'210,N,N, ,Rural,Rural-Remote,N,H,43,'07,SHELBY,12.8,711.0,113.8,4.9,0.4,0.3,12.7,0.0,78.8,3.0,62.6,48.2,25.7,12.8,6.6,6.9,0.3,0.0,0.8,4.5,0.3,5.2
SHELBYVILLE ISD,210903,'210,N,N, ,Rural,Rural-Distant,N,H,42,'07,SHELBY,12.3,831.0,130.9,12.9,0.0,0.1,11.7,0.0,72.7,2.6,57.0,100.0,13.5,7.0,5.3,5.3,0.0,0.0,0.5,0.0,0.0,5.4
TENAHA ISD,210904,'210,N,N, ,Rural,Rural-Distant,N,H,42,'07,SHELBY,11.2,455.0,82.2,25.7,0.0,0.0,53.6,0.0,19.1,1.5,92.1,99.8,17.8,3.5,25.7,25.9,5.1,0.0,0.9,1.1,0.0,2.6
TIMPSON ISD,210905,'210,N,N, ,Rural,Rural-Remote,N,H,43,'07,SHELBY,10.9,705.0,114.7,21.8,0.0,0.3,15.2,0.0,58.2,4.5,64.3,99.7,15.7,14.5,7.9,7.2,0.0,0.0,0.1,0.0,0.7,2.8
EXCELSIOR ISD,210906,'210,N,N, ,Rural,Rural-Remote,N,H,43,'07,SHELBY,7.0,74.0,23.2,2.7,0.0,0.0,13.5,0.0,83.8,0.0,75.7,100.0,16.2,6.8,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0
TEXHOMA ISD,211901,'211,N,N, ,Rural,Rural-Remote,N,H,43,'16,SHERMAN,9.2,107.0,27.8,0.0,0.0,0.0,56.1,0.0,42.1,1.9,63.6,100.0,12.1,4.7,30.8,30.8,0.9,0.0,0.0,0.0,0.0,2.8
STRATFORD ISD,211902,'211,N,N, ,Rural,Rural-Remote,N,H,43,'16,SHERMAN,10.4,575.0,92.8,0.2,0.3,0.2,62.4,0.0,34.6,2.3,60.2,99.5,11.3,2.8,26.1,27.1,0.0,5.6,4.3,0.5,0.0,1.2
CUMBERLAND ACADEMY,212801,'212,Y,N, ,Charter Schools,City-Midsize,Y,I,12,'07,SMITH,11.4,2037.0,289.7,17.4,0.2,4.0,26.8,0.1,47.6,4.0,38.7,56.8,10.8,14.9,6.4,7.4,0.0,0.0,0.0,3.8,0.0,0.0
UT TYLER UNIVERSITY ACADEMY,212804,'212,Y,N, ,Charter Schools,City-Midsize,Y,I,12,'07,SMITH,14.2,872.0,104.4,7.1,0.3,4.2,20.9,0.1,61.7,5.6,28.4,26.7,12.3,10.6,3.0,3.3,0.7,0.0,0.2,13.0,0.0,10.4
ARP ISD,212901,'212,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'07,SMITH,12.3,985.0,158.4,11.8,0.2,0.4,15.0,0.1,66.8,5.7,54.6,100.0,12.8,12.8,3.9,3.9,0.3,0.2,0.0,1.7,0.3,6.3
BULLARD ISD,212902,'212,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'07,SMITH,13.7,2886.0,418.1,4.0,0.2,0.4,8.5,0.0,84.2,2.7,30.8,54.7,13.1,13.1,2.8,3.2,0.4,0.4,0.0,8.9,0.8,7.7
LINDALE ISD,212903,'212,N,N, ,Other Central City Suburban,Town-Fringe,N,D,31,'07,SMITH,14.4,4469.0,691.3,5.4,0.5,1.3,18.7,0.0,68.8,5.3,44.7,100.0,17.6,9.7,4.1,4.2,0.9,0.2,0.0,7.6,0.6,6.8
